file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
NASDAQ_ACIU_2019.parquet,ok,367,0,2.3,
NASDAQ_ACIU_2020.parquet,ok,430,0,2.9,
NASDAQ_ACIU_2021.parquet,ok,100,0,1.5,
NASDAQ_ACIU_2022.parquet,ok,137,0,1.6,
NASDAQ_ACIW_2019.parquet,ok,160,0,1.7,
NASDAQ_ACIW_2020.parquet,ok,148,0,1.6,
NASDAQ_ACIW_2021.parquet,ok,134,0,1.8,
NASDAQ_ACIW_2022.parquet,ok,133,0,1.7,
NASDAQ_ACLS_2018.parquet,ok,100,0,1.6,
NASDAQ_ACLS_2019.PDF.parquet,ok,98,0,1.5,
NASDAQ_ACLS_2020.parquet,ok,101,0,1.5,
NASDAQ_ACLS_2021.parquet,ok,99,0,2.1,
NASDAQ_ACMR_2017.parquet,ok,210,0,2.2,
NASDAQ_ACMR_2018.parquet,ok,180,0,2.0,
NASDAQ_ACMR_2019.parquet,ok,200,0,2.0,
NASDAQ_ACMR_2020.parquet,ok,243,0,2.2,
NASDAQ_ACMR_2021.parquet,ok,255,0,2.2,
NASDAQ_ACNB_2017.PDF.parquet,ok,16,0,1.2,
NASDAQ_ACNB_2018.PDF.parquet,ok,16,0,1.2,
NASDAQ_ACNB_2019.parquet,ok,16,0,1.2,
NASDAQ_ACNB_2020.parquet,ok,17,0,1.5,
NASDAQ_ACNB_2021.parquet,ok,213,0,2.1,
NASDAQ_ACOR_2019.parquet,ok,8,0,1.3,
NASDAQ_ACOR_2020.parquet,ok,4,0,1.2,
NASDAQ_ACOR_2021.parquet,ok,1,0,1.2,
NASDAQ_ACOR_2022.parquet,ok,461,0,2.8,
NASDAQ_ACRS_2017.parquet,ok,242,0,2.0,
NASDAQ_ACRS_2018.parquet,ok,411,0,2.4,
NASDAQ_ACRS_2019.parquet,ok,283,0,2.0,
NASDAQ_ACRS_2020.parquet,ok,276,0,2.2,
NASDAQ_ACRS_2021.parquet,ok,305,0,2.5,
NASDAQ_ACRX_2017.parquet,ok,262,0,2.2,
NASDAQ_ACRX_2018.parquet,ok,289,0,2.7,
NASDAQ_ACRX_2019.parquet,ok,255,0,2.3,
NASDAQ_ACRX_2020.parquet,ok,249,0,2.2,
NASDAQ_ACRX_2021.parquet,ok,270,0,2.2,
NASDAQ_ACTG_2019.parquet,ok,237,0,2.1,
NASDAQ_ACTG_2020.parquet,ok,149,0,1.7,
NASDAQ_ACTG_2021.parquet,ok,179,0,1.8,
NASDAQ_ACTG_2022.parquet,ok,227,0,2.2,
NASDAQ_ACUR_2017.parquet,ok,318,0,2.3,
NASDAQ_ACUR_2018.parquet,ok,266,0,2.0,
NASDAQ_ACUR_2019.parquet,ok,303,0,2.5,
NASDAQ_ACUR_2020.parquet,ok,177,0,1.8,
NASDAQ_ACXM_2014.parquet,ok,149,0,1.7,
NASDAQ_ACXM_2015.parquet,ok,159,0,1.8,
NASDAQ_ACXM_2017.parquet,ok,164,0,1.8,
NASDAQ_ACXM_2018.parquet,ok,159,0,2.1,
NASDAQ_ADAP_2017.parquet,ok,116,0,1.7,
NASDAQ_ADAP_2018.parquet,ok,119,0,1.7,
NASDAQ_ADAP_2019.parquet,ok,590,0,3.7,
NASDAQ_ADAP_2020.parquet,ok,253,0,2.7,
NASDAQ_ADAP_2021.parquet,ok,267,0,2.3,
NASDAQ_ADBE_2019.parquet,ok,195,0,1.9,
NASDAQ_ADBE_2020.parquet,ok,203,0,2.4,
NASDAQ_ADBE_2021.parquet,ok,171,0,3.1,
NASDAQ_ADBE_2022.parquet,ok,167,0,2.0,
NASDAQ_ADES_2017.parquet,ok,221,0,2.1,
NASDAQ_ADES_2018.parquet,ok,190,0,2.1,
NASDAQ_ADES_2019.parquet,ok,180,0,1.9,
NASDAQ_ADES_2020.parquet,ok,192,0,1.9,
NASDAQ_ADES_2021.parquet,ok,180,0,1.8,
NASDAQ_ADI_2018.parquet,ok,24,0,2.3,
NASDAQ_ADI_2019.parquet,ok,162,0,1.8,
NASDAQ_ADI_2020.parquet,ok,160,0,1.7,
NASDAQ_ADI_2021.parquet,ok,159,0,1.7,
NASDAQ_ADIL_2018.parquet,ok,277,0,2.3,
NASDAQ_ADIL_2019.parquet,ok,290,0,2.1,
NASDAQ_ADIL_2020.parquet,ok,292,0,2.5,
NASDAQ_ADIL_2021.parquet,ok,349,0,2.6,
NASDAQ_ADMA_2017.parquet,ok,197,0,1.9,
NASDAQ_ADMA_2018.parquet,ok,212,0,1.9,
NASDAQ_ADMA_2019.parquet,ok,189,0,2.1,
NASDAQ_ADMA_2020.parquet,ok,18,0,2.9,
NASDAQ_ADMA_2021.parquet,ok,266,0,2.2,
NASDAQ_ADMP_2019.parquet,ok,242,0,2.2,
NASDAQ_ADMP_2020.parquet,ok,311,0,2.5,
NASDAQ_ADMP_2021.parquet,ok,250,0,2.1,
NASDAQ_ADMP_2022.parquet,ok,219,0,2.2,
NASDAQ_ADMS_2015.parquet,ok,188,0,3.1,
NASDAQ_ADMS_2016.parquet,ok,187,0,2.4,
NASDAQ_ADMS_2017.PDF.parquet,ok,207,0,2.3,
NASDAQ_ADMS_2018.parquet,ok,197,0,3.3,
NASDAQ_ADMS_2019.parquet,ok,180,0,2.0,
NASDAQ_ADRO_2016.parquet,ok,262,0,2.3,
NASDAQ_ADRO_2017.parquet,ok,243,0,2.2,
NASDAQ_ADRO_2018.parquet,ok,339,0,2.5,
NASDAQ_ADRO_2019.parquet,ok,272,0,2.4,
NASDAQ_ADSK_2019.parquet,ok,191,0,2.0,
NASDAQ_ADSK_2020.parquet,ok,189,0,1.9,
NASDAQ_ADSK_2021.parquet,ok,187,0,2.1,
NASDAQ_ADSK_2022.parquet,ok,176,0,4.5,
NASDAQ_ADTN_2019.parquet,ok,107,0,1.8,
NASDAQ_ADTN_2020.parquet,ok,193,0,2.2,
NASDAQ_ADTN_2021.parquet,ok,216,0,2.3,
NASDAQ_ADTN_2022.parquet,ok,328,0,2.7,
NASDAQ_ADUS_2019.parquet,ok,339,0,2.7,
NASDAQ_ADUS_2020.parquet,ok,342,0,2.8,
NASDAQ_ADUS_2021.parquet,ok,213,0,2.2,
NASDAQ_ADUS_2022.parquet,ok,182,0,2.0,
NASDAQ_ADVM_2019.parquet,ok,216,0,2.1,
NASDAQ_ADVM_2020.parquet,ok,252,0,2.2,
NASDAQ_ADVM_2021.parquet,ok,226,0,2.0,
NASDAQ_ADVM_2022.parquet,ok,271,0,3.6,
NASDAQ_ADXS_2018.parquet,ok,159,0,2.2,
NASDAQ_ADXS_2019.parquet,ok,178,0,3.8,
NASDAQ_ADXS_2020.parquet,ok,205,0,2.7,
NASDAQ_ADXS_2021.parquet,ok,225,0,3.0,
NASDAQ_AEGN_2016.parquet,ok,229,0,2.5,
NASDAQ_AEGN_2017.parquet,ok,229,0,2.1,
NASDAQ_AEGN_2018.parquet,ok,222,0,2.0,
NASDAQ_AEGN_2019.parquet,ok,225,0,1.9,
NASDAQ_AEHR_2017.parquet,ok,126,0,1.9,
NASDAQ_AEHR_2018.parquet,ok,96,0,1.5,
NASDAQ_AEHR_2019.parquet,ok,124,0,1.8,
NASDAQ_AEHR_2020.parquet,ok,106,0,1.6,
NASDAQ_AEHR_2021.parquet,ok,109,0,1.6,
NASDAQ_AEIS_2017.parquet,ok,137,0,1.6,
NASDAQ_AEIS_2018.parquet,ok,121,0,1.6,
