file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
NASDAQ_ACHV_2019.parquet,ok,208,0,0.5,
NASDAQ_ACHV_2020.parquet,ok,186,0,0.3,
NASDAQ_ACHV_2021.parquet,ok,207,0,0.4,
NASDAQ_ACIA_2019.parquet,ok,214,0,0.4,
NASDAQ_ACIA_20_2016.parquet,ok,175,175,0.3,
NASDAQ_ACIA_20_2017.parquet,ok,189,189,0.4,
NASDAQ_ACIU_2018.parquet,ok,490,0,1.0,
NASDAQ_ACIU_2019.parquet,ok,367,0,0.7,
NASDAQ_ACIU_2020.parquet,ok,430,0,0.7,
NASDAQ_ACIU_2021.parquet,ok,100,0,0.3,
NASDAQ_ACIU_2022.parquet,ok,137,0,0.3,
NASDAQ_ACIW_2019.parquet,ok,160,0,0.3,
NASDAQ_ACIW_2020.parquet,ok,148,0,0.3,
NASDAQ_ACIW_2021.parquet,ok,134,0,0.2,
NASDAQ_ACIW_2022.parquet,ok,133,0,0.3,
NASDAQ_ACLS_2018.parquet,ok,100,0,0.2,
NASDAQ_ACLS_2019.PDF.parquet,ok,98,0,0.2,
NASDAQ_ACLS_2020.parquet,ok,101,0,0.2,
NASDAQ_ACLS_2021.parquet,ok,99,0,0.2,
NASDAQ_ACMR_2017.parquet,ok,210,0,0.4,
NASDAQ_ACMR_2018.parquet,ok,180,0,0.3,
NASDAQ_ACMR_2019.parquet,ok,200,0,0.4,
NASDAQ_ACMR_2020.parquet,ok,243,0,0.4,
NASDAQ_ACMR_2021.parquet,ok,255,0,0.5,
NASDAQ_ACNB_2017.PDF.parquet,ok,16,0,0.1,
NASDAQ_ACNB_2018.PDF.parquet,ok,16,0,0.0,
NASDAQ_ACNB_2019.parquet,ok,16,0,0.0,
NASDAQ_ACNB_2020.parquet,ok,17,0,0.0,
NASDAQ_ACNB_2021.parquet,ok,213,0,0.4,
NASDAQ_ACOR_2019.parquet,ok,8,0,0.0,
NASDAQ_ACOR_2020.parquet,ok,4,0,0.1,
NASDAQ_ACOR_2021.parquet,ok,1,0,0.0,
NASDAQ_ACOR_2022.parquet,ok,461,0,0.8,
NASDAQ_ACRS_2017.parquet,ok,242,0,0.4,
NASDAQ_ACRS_2018.parquet,ok,411,0,0.8,
NASDAQ_ACRS_2019.parquet,ok,283,0,0.5,
NASDAQ_ACRS_2020.parquet,ok,276,0,0.5,
NASDAQ_ACRS_2021.parquet,ok,305,0,0.5,
NASDAQ_ACRX_2017.parquet,ok,262,0,0.5,
NASDAQ_ACRX_2018.parquet,ok,289,0,0.5,
NASDAQ_ACRX_2019.parquet,ok,255,0,0.4,
NASDAQ_ACRX_2020.parquet,ok,249,0,0.4,
NASDAQ_ACRX_2021.parquet,ok,270,0,0.4,
NASDAQ_ACTG_2019.parquet,ok,237,0,0.4,
NASDAQ_ACTG_2020.parquet,ok,149,0,0.3,
NASDAQ_ACTG_2021.parquet,ok,179,0,0.3,
NASDAQ_ACTG_2022.parquet,ok,227,0,0.5,
NASDAQ_ACUR_2017.parquet,ok,318,0,0.6,
NASDAQ_ACUR_2018.parquet,ok,266,0,0.5,
NASDAQ_ACUR_2019.parquet,ok,303,0,0.5,
NASDAQ_ACUR_2020.parquet,ok,177,0,0.3,
NASDAQ_ACXM_2014.parquet,ok,149,0,0.3,
NASDAQ_ACXM_2015.parquet,ok,159,0,0.3,
NASDAQ_ACXM_2017.parquet,ok,164,0,0.3,
NASDAQ_ACXM_2018.parquet,ok,159,0,0.3,
NASDAQ_ADAP_2017.parquet,ok,116,0,0.3,
NASDAQ_ADAP_2018.parquet,ok,119,0,0.4,
NASDAQ_ADAP_2019.parquet,ok,590,0,1.5,
NASDAQ_ADAP_2020.parquet,ok,253,0,0.5,
NASDAQ_ADAP_2021.parquet,ok,267,0,0.5,
NASDAQ_ADBE_2019.parquet,ok,195,0,0.6,
NASDAQ_ADBE_2020.parquet,ok,203,0,0.5,
