pdf_path,company,registrant_name,company_name_mismatch,error
../downolad_files/data/nasdaq_annual_reports\51job-inc\NASDAQ_JOBS_2018.pdf,51job-inc,"51job, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\3d-systems-corp\NASDAQ_DDD_2021.pdf,3d-systems-corp,36Kr Holdings Inc.,True,
../downolad_files/data/nasdaq_annual_reports\51job-inc\NASDAQ_JOBS_2019.pdf,51job-inc,"51job, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\89bio-inc\NASDAQ_ETNB_2019.pdf,89bio-inc,"89bio, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\8x8-inc\NASDAQ_EGHT_2019.pdf,8x8-inc,"8x8, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\8x8-inc\NASDAQ_EGHT_2020.pdf,8x8-inc,"8x8, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\89bio-inc\NASDAQ_ETNB_2020.pdf,89bio-inc,"89bio, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\89bio-inc\NASDAQ_ETNB_2021.pdf,89bio-inc,"89bio, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\8x8-inc\NASDAQ_EGHT_2021.pdf,8x8-inc,"8x8, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\9-meters-biopharma-inc\NASDAQ_NMTR_2018.pdf,9-meters-biopharma-inc,"INNOVATE BIO PHARMACEUTICALS, INC.",True,
../downolad_files/data/nasdaq_annual_reports\8x8-inc\NASDAQ_EGHT_2022.pdf,8x8-inc,,,
../downolad_files/data/nasdaq_annual_reports\9-meters-biopharma-inc\NASDAQ_NMTR_2017.pdf,9-meters-biopharma-inc,"INNOVATE BIO PHARMACEUTICALS, INC.",True,
../downolad_files/data/nasdaq_annual_reports\9-meters-biopharma-inc\NASDAQ_NMTR_2019.pdf,9-meters-biopharma-inc,"INNOVATE BIO PHARMACEUTICALS, INC.",True,
../downolad_files/data/nasdaq_annual_reports\9-meters-biopharma-inc\NASDAQ_NMTR_2020.pdf,9-meters-biopharma-inc,"9 METERS BIOPHARMA, INC.",False,
../downolad_files/data/nasdaq_annual_reports\9-meters-biopharma-inc\NASDAQ_NMTR_2021.pdf,9-meters-biopharma-inc,"9 METERS BIOPHARMA, INC.",False,
../downolad_files/data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2018.pdf,BRPInc,,,
../downolad_files/data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2019.pdf,BRPInc,,,
../downolad_files/data/nasdaq_annual_reports\9f-inc\NASDAQ_JFU_2019.pdf,9f-inc,9F Inc.,,
../downolad_files/data/nasdaq_annual_reports\9f-inc\NASDAQ_JFU_2020.pdf,9f-inc,9F Inc.,,
../downolad_files/data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2020.pdf,BRPInc,,,
../downolad_files/data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2021.pdf,BRPInc,,,
../downolad_files/data/nasdaq_annual_reports\9f-inc\NASDAQ_JFU_2021.pdf,9f-inc,9F Inc.,,
../downolad_files/data/nasdaq_annual_reports\BRPInc\TSX_DOO_2017.pdf,BRPInc,,,
../downolad_files/data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2017.pdf,DBV,,,
../downolad_files/data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2018.pdf,DBV,,,
../downolad_files/data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2019.pdf,DBV,,,
../downolad_files/data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2021.pdf,DBV,DBV TECHNOLOGIES S.A.,False,
../downolad_files/data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2020.pdf,DBV,DBV TECHNOLOGIES S.A.,False,
../downolad_files/data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2018.pdf,Green-Plains-Partners-LP,GREEN PLAINS PARTNERS LP,False,
../downolad_files/data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2019.pdf,Green-Plains-Partners-LP,GREEN PLAINS PARTNERS LP,False,
