path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\9f-inc\NASDAQ_JFU_2021.pdf,226,141932,247,2838,
data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2018.pdf,16,4338,16,86,
data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2019.pdf,24,6028,22,120,
data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2020.pdf,36,8298,36,165,
data/nasdaq_annual_reports\BRPInc\NASDAQ_DOO_2021.pdf,32,7810,30,156,
data/nasdaq_annual_reports\BRPInc\TSX_DOO_2017.pdf,20,5228,20,104,
data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2017.pdf,307,140256,308,2805,
data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2018.pdf,280,143230,280,2864,
data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2019.pdf,302,161955,302,3239,
data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2020.pdf,273,136424,4037,2728,
data/nasdaq_annual_reports\DBV\NASDAQ_DBVT_2021.pdf,158,84759,158,1695,
data/nasdaq_annual_reports\Eldorado-Resorts-Inc\NASDAQ_ERI_2020.pdf,261,119929,267,2398,
data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2018.pdf,110,61980,1040,1239,
data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2019.pdf,114,65590,1062,1311,
data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2020.pdf,104,58068,948,1161,
data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2021.pdf,91,51046,891,1020,
data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2019.pdf,104,90470,2119,1809,
data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2020.pdf,124,120641,1329,2412,
data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2021.pdf,116,92772,120,1855,
data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2022.pdf,112,86108,1323,1722,
data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2016_be053643da474abb9e048daf1ac9aa5f.pdf,91,46527,562,930,
data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2017_f648bdecfe524b9ab55f6e702d3f397b.pdf,106,51356,418,1027,
data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2018.pdf,114,58026,423,1160,
data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2019.pdf,110,57441,389,1148,
data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2020.PDF,106,19340,108,386,
data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2015.pdf,8,2044,10,40,
data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2016.pdf,8,1918,8,38,
data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2017.pdf,8,2219,14,44,
data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2018.pdf,12,2946,13,58,
data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2019.pdf,20,3020,22,60,
data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2016.pdf,100,87314,105,1746,
data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2017_f4884b55347f43f09dc5f6b860f3148e.pdf,103,87357,115,1747,
data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2018.pdf,104,90972,104,1819,
data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2019.pdf,104,88045,105,1760,
data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2020.pdf,141,62607,142,1252,
data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2015.pdf,144,72815,130,1456,
