path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\aci-worldwide-inc\NASDAQ_ACIW_2021.pdf,93,48876,99,977,
data/nasdaq_annual_reports\aci-worldwide-inc\NASDAQ_ACIW_2022.pdf,90,48390,94,967,
data/nasdaq_annual_reports\aclaris-therapeutics-inc\NASDAQ_ACRS_2017.pdf,132,78766,1104,1575,
data/nasdaq_annual_reports\aclaris-therapeutics-inc\NASDAQ_ACRS_2018.pdf,242,132208,1480,2644,
data/nasdaq_annual_reports\aclaris-therapeutics-inc\NASDAQ_ACRS_2019.pdf,156,87518,218,1750,
data/nasdaq_annual_reports\aclaris-therapeutics-inc\NASDAQ_ACRS_2020.pdf,150,88979,176,1779,
data/nasdaq_annual_reports\aclaris-therapeutics-inc\NASDAQ_ACRS_2021.pdf,173,97815,211,1956,
data/nasdaq_annual_reports\acm-research-inc\NASDAQ_ACMR_2017.pdf,117,67695,1523,1353,
data/nasdaq_annual_reports\acm-research-inc\NASDAQ_ACMR_2018.pdf,105,58017,1026,1160,
data/nasdaq_annual_reports\acm-research-inc\NASDAQ_ACMR_2019.pdf,118,62490,196,1249,
data/nasdaq_annual_reports\acm-research-inc\NASDAQ_ACMR_2020.pdf,127,75546,129,1510,
data/nasdaq_annual_reports\acm-research-inc\NASDAQ_ACMR_2021.pdf,160,113693,159,2273,
data/nasdaq_annual_reports\acnb-corporation\NASDAQ_ACNB_2017.PDF,16,5249,17,104,
data/nasdaq_annual_reports\acnb-corporation\NASDAQ_ACNB_2018.PDF,11,5042,11,100,
data/nasdaq_annual_reports\acnb-corporation\NASDAQ_ACNB_2019.pdf,11,5180,11,103,
data/nasdaq_annual_reports\acnb-corporation\NASDAQ_ACNB_2020.pdf,11,5296,11,105,
data/nasdaq_annual_reports\acnb-corporation\NASDAQ_ACNB_2021.pdf,137,64081,137,1281,
data/nasdaq_annual_reports\acorda-therapeutics-inc\NASDAQ_ACOR_2019.pdf,4,2417,10,48,
data/nasdaq_annual_reports\acorda-therapeutics-inc\NASDAQ_ACOR_2020.pdf,3,1273,7,25,
data/nasdaq_annual_reports\acorda-therapeutics-inc\NASDAQ_ACOR_2021.pdf,4,0,1,0,
data/nasdaq_annual_reports\acorda-therapeutics-inc\NASDAQ_ACOR_2022.pdf,257,147190,389,2943,
data/nasdaq_annual_reports\activision-blizzard-inc\NASDAQ_ATVI_2019.pdf,148,104182,238,2083,
data/nasdaq_annual_reports\activision-blizzard-inc\NASDAQ_ATVI_2020.pdf,136,72683,1467,1453,
data/nasdaq_annual_reports\activision-blizzard-inc\NASDAQ_ATVI_2021.pdf,144,85827,154,1716,
data/nasdaq_annual_reports\activision-blizzard-inc\NASDAQ_ATVI_2022.pdf,140,74614,170,1492,
data/nasdaq_annual_reports\acura-pharmaceuticals-inc\NASDAQ_ACUR_2017.pdf,184,102269,3712,2045,
data/nasdaq_annual_reports\acura-pharmaceuticals-inc\NASDAQ_ACUR_2018.pdf,145,85701,3128,1714,
data/nasdaq_annual_reports\acura-pharmaceuticals-inc\NASDAQ_ACUR_2019.pdf,172,97061,1704,1941,
data/nasdaq_annual_reports\acura-pharmaceuticals-inc\NASDAQ_ACUR_2020.pdf,94,57004,986,1140,
data/nasdaq_annual_reports\acxiom-corporation\NASDAQ_ACXM_2014.pdf,104,51428,117,1028,
data/nasdaq_annual_reports\acxiom-corporation\NASDAQ_ACXM_2015.pdf,108,53466,1127,1069,
data/nasdaq_annual_reports\acxiom-corporation\NASDAQ_ACXM_2016.pdf,104,53826,276,1076,
data/nasdaq_annual_reports\acxiom-corporation\NASDAQ_ACXM_2017.pdf,116,56340,244,1126,
data/nasdaq_annual_reports\acxiom-corporation\NASDAQ_ACXM_2018.pdf,116,53426,691,1068,
data/nasdaq_annual_reports\adamas-pharmaceuticals-inc\NASDAQ_ADMS_2015.pdf,112,70300,528,1405,
data/nasdaq_annual_reports\adamas-pharmaceuticals-inc\NASDAQ_ADMS_2016.pdf,112,73137,142,1462,
data/nasdaq_annual_reports\adamas-pharmaceuticals-inc\NASDAQ_ADMS_2017.PDF,124,78861,128,1577,
data/nasdaq_annual_reports\adamas-pharmaceuticals-inc\NASDAQ_ADMS_2018.pdf,116,75334,142,1506,
data/nasdaq_annual_reports\adamas-pharmaceuticals-inc\NASDAQ_ADMS_2019.pdf,108,71331,109,1426,
data/nasdaq_annual_reports\adamis-pharmaceuticals-corp\NASDAQ_ADMP_2019.pdf,127,76678,1073,1533,
data/nasdaq_annual_reports\adamis-pharmaceuticals-corp\NASDAQ_ADMP_2020.pdf,190,98034,1047,1960,
data/nasdaq_annual_reports\adamis-pharmaceuticals-corp\NASDAQ_ADMP_2021.pdf,130,78774,886,1575,
data/nasdaq_annual_reports\adamis-pharmaceuticals-corp\NASDAQ_ADMP_2022.pdf,101,69838,995,1396,
data/nasdaq_annual_reports\adapthealth-corp\NASDAQ_AHCO_2018.pdf,74,58187,1548,1163,
data/nasdaq_annual_reports\adapthealth-corp\NASDAQ_AHCO_2019.pdf,178,97740,3085,1954,
data/nasdaq_annual_reports\adapthealth-corp\NASDAQ_AHCO_2020.pdf,140,81280,1113,1625,
data/nasdaq_annual_reports\adapthealth-corp\NASDAQ_AHCO_2021.pdf,157,93286,1285,1865,
data/nasdaq_annual_reports\adaptimmune-therapeutics\NASDAQ_ADAP_2017.pdf,93,39180,714,783,
data/nasdaq_annual_reports\adaptimmune-therapeutics\NASDAQ_ADAP_2018.pdf,100,40258,541,805,
data/nasdaq_annual_reports\adaptimmune-therapeutics\NASDAQ_ADAP_2019.pdf,455,192382,2303,3847,
